feature,importance
feature_volatility_15m,0.19625339
feature_volatility_5m,0.18053792
feature_return_1m,0.07701488
feature_return_5m,0.0765503
feature_return_15m,0.059794128
feature_hour_of_day,0.05745517
feature_macd,0.05603397
feature_day_of_week,0.047889046
feature_macd_diff,0.039193902
feature_macd_signal,0.03899113
feature_bband_hband,0.037019704
feature_stoch_k,0.03654632
feature_bband_mavg,0.029849153
feature_bband_lband,0.029772207
feature_stoch_d,0.023392268
feature_minute_of_hour,0.013706436
